time,amplitude_data,type,duration,sample_rate,amplitude,frequency,phase,noise
0.0,0.9107408774167034,SquareSignal,5,100,5,2,0,0.4
0.01,5.1852545130600305,SquareSignal,5,100,5,2,0,0.4
0.02,4.560632334909828,SquareSignal,5,100,5,2,0,0.4
0.03,4.229811165665731,SquareSignal,5,100,5,2,0,0.4
0.04,6.507858973705526,SquareSignal,5,100,5,2,0,0.4
0.05,5.016862936319827,SquareSignal,5,100,5,2,0,0.4
0.06,3.975113347579737,SquareSignal,5,100,5,2,0,0.4
0.07,4.328042768159462,SquareSignal,5,100,5,2,0,0.4
0.08,3.7059283024441605,SquareSignal,5,100,5,2,0,0.4
0.09,5.737174316028359,SquareSignal,5,100,5,2,0,0.4
0.1,7.155761796449834,SquareSignal,5,100,5,2,0,0.4
0.11,4.240200388417337,SquareSignal,5,100,5,2,0,0.4
0.12,7.107562442328129,SquareSignal,5,100,5,2,0,0.4
0.13,4.515079209353955,SquareSignal,5,100,5,2,0,0.4
0.14,5.198049984000173,SquareSignal,5,100,5,2,0,0.4
0.15,6.658611741668653,SquareSignal,5,100,5,2,0,0.4
0.16,4.881871021760248,SquareSignal,5,100,5,2,0,0.4
0.17,5.778852758197736,SquareSignal,5,100,5,2,0,0.4
0.18,3.1225220224199526,SquareSignal,5,100,5,2,0,0.4
0.19,2.6048990391889775,SquareSignal,5,100,5,2,0,0.4
0.2,1.919053132686781,SquareSignal,5,100,5,2,0,0.4
0.21,6.733629468976323,SquareSignal,5,100,5,2,0,0.4
0.22,9.066515487844828,SquareSignal,5,100,5,2,0,0.4
0.23,3.9310275724525416,SquareSignal,5,100,5,2,0,0.4
0.24,5.859865245356623,SquareSignal,5,100,5,2,0,0.4
0.25,-4.69659702831004,SquareSignal,5,100,5,2,0,0.4
0.26,-6.496131824507754,SquareSignal,5,100,5,2,0,0.4
0.27,-3.8615214749375784,SquareSignal,5,100,5,2,0,0.4
0.28,-7.726101123642014,SquareSignal,5,100,5,2,0,0.4
0.29,-7.166938912172133,SquareSignal,5,100,5,2,0,0.4
0.3,-4.199536181681849,SquareSignal,5,100,5,2,0,0.4
0.31,-4.152904516620644,SquareSignal,5,100,5,2,0,0.4
0.32,-4.01675533302986,SquareSignal,5,100,5,2,0,0.4
0.33,-3.4574443726865374,SquareSignal,5,100,5,2,0,0.4
0.34,-5.56896163603229,SquareSignal,5,100,5,2,0,0.4
0.35000000000000003,-7.950300564513217,SquareSignal,5,100,5,2,0,0.4
0.36,-5.406920945406053,SquareSignal,5,100,5,2,0,0.4
0.37,-3.6982795688371315,SquareSignal,5,100,5,2,0,0.4
0.38,-4.936647578336444,SquareSignal,5,100,5,2,0,0.4
0.39,-3.9830538866961946,SquareSignal,5,100,5,2,0,0.4
0.4,-4.269312298544131,SquareSignal,5,100,5,2,0,0.4
0.41000000000000003,-4.389485492647897,SquareSignal,5,100,5,2,0,0.4
0.42,-4.366912302955081,SquareSignal,5,100,5,2,0,0.4
0.43,-3.1122102597815084,SquareSignal,5,100,5,2,0,0.4
0.44,-3.553399955295327,SquareSignal,5,100,5,2,0,0.4
0.45,-5.17183923443505,SquareSignal,5,100,5,2,0,0.4
0.46,-5.164049102309599,SquareSignal,5,100,5,2,0,0.4
0.47000000000000003,-1.5249589559406025,SquareSignal,5,100,5,2,0,0.4
0.48,-3.3985387126519533,SquareSignal,5,100,5,2,0,0.4
0.49,-2.4926004568861524,SquareSignal,5,100,5,2,0,0.4
0.5,4.642759482263541,SquareSignal,5,100,5,2,0,0.4
0.51,4.80709526036606,SquareSignal,5,100,5,2,0,0.4
0.52,5.394089591676225,SquareSignal,5,100,5,2,0,0.4
0.53,2.628214694605232,SquareSignal,5,100,5,2,0,0.4
0.54,5.594352124129367,SquareSignal,5,100,5,2,0,0.4
0.55,5.038229383989217,SquareSignal,5,100,5,2,0,0.4
0.56,3.417791988630695,SquareSignal,5,100,5,2,0,0.4
0.5700000000000001,4.694900771340488,SquareSignal,5,100,5,2,0,0.4
0.58,3.9873445401538055,SquareSignal,5,100,5,2,0,0.4
0.59,0.3033656807327896,SquareSignal,5,100,5,2,0,0.4
