time,amplitude_data,type,duration,sample_rate,amplitude,frequency,phase,noise
0.0,0.0,SineSignal,5,100,2,1,0,0
0.01,0.12558103905862675,SineSignal,5,100,2,1,0,0
0.02,0.2506664671286085,SineSignal,5,100,2,1,0,0
0.03,0.3747626291714492,SineSignal,5,100,2,1,0,0
0.04,0.4973797743297096,SineSignal,5,100,2,1,0,0
0.05,0.6180339887498948,SineSignal,5,100,2,1,0,0
0.06,0.7362491053693558,SineSignal,5,100,2,1,0,0
0.07,0.8515585831301454,SineSignal,5,100,2,1,0,0
0.08,0.9635073482034306,SineSignal,5,100,2,1,0,0
0.09,1.0716535899579933,SineSignal,5,100,2,1,0,0
0.1,1.1755705045849463,SineSignal,5,100,2,1,0,0
0.11,1.2748479794973793,SineSignal,5,100,2,1,0,0
0.12,1.3690942118573772,SineSignal,5,100,2,1,0,0
0.13,1.457937254842823,SineSignal,5,100,2,1,0,0
0.14,1.5410264855515785,SineSignal,5,100,2,1,0,0
0.15,1.618033988749895,SineSignal,5,100,2,1,0,0
0.16,1.6886558510040302,SineSignal,5,100,2,1,0,0
0.17,1.7526133600877274,SineSignal,5,100,2,1,0,0
0.18,1.8096541049320392,SineSignal,5,100,2,1,0,0
0.19,1.8595529717765027,SineSignal,5,100,2,1,0,0
0.2,1.902113032590307,SineSignal,5,100,2,1,0,0
0.21,1.9371663222572622,SineSignal,5,100,2,1,0,0
0.22,1.9645745014573772,SineSignal,5,100,2,1,0,0
0.23,1.9842294026289558,SineSignal,5,100,2,1,0,0
0.24,1.9960534568565431,SineSignal,5,100,2,1,0,0
0.25,2.0,SineSignal,5,100,2,1,0,0
0.26,1.9960534568565431,SineSignal,5,100,2,1,0,0
0.27,1.9842294026289555,SineSignal,5,100,2,1,0,0
0.28,1.9645745014573772,SineSignal,5,100,2,1,0,0
0.29,1.9371663222572624,SineSignal,5,100,2,1,0,0
0.3,1.9021130325903073,SineSignal,5,100,2,1,0,0
0.31,1.859552971776503,SineSignal,5,100,2,1,0,0
0.32,1.809654104932039,SineSignal,5,100,2,1,0,0
0.33,1.752613360087727,SineSignal,5,100,2,1,0,0
0.34,1.68865585100403,SineSignal,5,100,2,1,0,0
0.35000000000000003,1.618033988749895,SineSignal,5,100,2,1,0,0
0.36,1.5410264855515785,SineSignal,5,100,2,1,0,0
0.37,1.4579372548428229,SineSignal,5,100,2,1,0,0
0.38,1.3690942118573777,SineSignal,5,100,2,1,0,0
0.39,1.2748479794973797,SineSignal,5,100,2,1,0,0
0.4,1.1755705045849465,SineSignal,5,100,2,1,0,0
0.41000000000000003,1.0716535899579933,SineSignal,5,100,2,1,0,0
0.42,0.9635073482034312,SineSignal,5,100,2,1,0,0
0.43,0.8515585831301458,SineSignal,5,100,2,1,0,0
0.44,0.7362491053693563,SineSignal,5,100,2,1,0,0
0.45,0.618033988749895,SineSignal,5,100,2,1,0,0
0.46,0.49737977432970965,SineSignal,5,100,2,1,0,0
0.47000000000000003,0.37476262917144915,SineSignal,5,100,2,1,0,0
0.48,0.25066646712860907,SineSignal,5,100,2,1,0,0
0.49,0.12558103905862716,SineSignal,5,100,2,1,0,0
0.5,2.4492935982947064e-16,SineSignal,5,100,2,1,0,0
0.51,-0.1255810390586267,SineSignal,5,100,2,1,0,0
