time,amplitude_data,type,duration,sample_rate,amplitude,frequency,phase,noise
0.0,0.04301935895596077,SineSignal,5,100,2,1,0,0.3
0.01,-0.6776179571191587,SineSignal,5,100,2,1,0,0.3
0.02,0.6891218329180542,SineSignal,5,100,2,1,0,0.3
0.03,0.2637799597369372,SineSignal,5,100,2,1,0,0.3
0.04,1.05972754264999,SineSignal,5,100,2,1,0,0.3
0.05,1.6573552494547195,SineSignal,5,100,2,1,0,0.3
0.06,1.7067863383962794,SineSignal,5,100,2,1,0,0.3
0.07,1.0899446113857583,SineSignal,5,100,2,1,0,0.3
0.08,0.74663749210108,SineSignal,5,100,2,1,0,0.3
0.09,0.8704221743794598,SineSignal,5,100,2,1,0,0.3
0.1,1.3028386267112957,SineSignal,5,100,2,1,0,0.3
0.11,1.5562096701933719,SineSignal,5,100,2,1,0,0.3
0.12,1.7203937151740754,SineSignal,5,100,2,1,0,0.3
0.13,1.3344225073846079,SineSignal,5,100,2,1,0,0.3
0.14,1.3482771032184588,SineSignal,5,100,2,1,0,0.3
0.15,1.315378627606532,SineSignal,5,100,2,1,0,0.3
0.16,2.95920628711526,SineSignal,5,100,2,1,0,0.3
0.17,2.358648027190534,SineSignal,5,100,2,1,0,0.3
0.18,2.2227581104628253,SineSignal,5,100,2,1,0,0.3
0.19,2.19747917276031,SineSignal,5,100,2,1,0,0.3
0.2,2.8469675729225803,SineSignal,5,100,2,1,0,0.3
0.21,1.1801275816297507,SineSignal,5,100,2,1,0,0.3
0.22,1.582886428080705,SineSignal,5,100,2,1,0,0.3
0.23,2.251061090791364,SineSignal,5,100,2,1,0,0.3
0.24,2.1184601298571955,SineSignal,5,100,2,1,0,0.3
0.25,1.7037391778463196,SineSignal,5,100,2,1,0,0.3
0.26,2.7588165268889173,SineSignal,5,100,2,1,0,0.3
0.27,3.5519511406487245,SineSignal,5,100,2,1,0,0.3
0.28,1.3358548059087743,SineSignal,5,100,2,1,0,0.3
0.29,1.8921648848082817,SineSignal,5,100,2,1,0,0.3
0.3,2.8132193112306965,SineSignal,5,100,2,1,0,0.3
0.31,2.1868772973255792,SineSignal,5,100,2,1,0,0.3
0.32,1.6780171522101544,SineSignal,5,100,2,1,0,0.3
0.33,2.278460879715134,SineSignal,5,100,2,1,0,0.3
0.34,0.7796593844468783,SineSignal,5,100,2,1,0,0.3
0.35000000000000003,1.580413305929592,SineSignal,5,100,2,1,0,0.3
0.36,1.96631832242692,SineSignal,5,100,2,1,0,0.3
0.37,1.6963593847451364,SineSignal,5,100,2,1,0,0.3
0.38,2.1237039838814518,SineSignal,5,100,2,1,0,0.3
0.39,1.3243253147198777,SineSignal,5,100,2,1,0,0.3
0.4,1.1612527558738623,SineSignal,5,100,2,1,0,0.3
0.41000000000000003,0.02456256270984114,SineSignal,5,100,2,1,0,0.3
0.42,0.5095804764235292,SineSignal,5,100,2,1,0,0.3
0.43,1.2258063923939342,SineSignal,5,100,2,1,0,0.3
0.44,0.7855676505802586,SineSignal,5,100,2,1,0,0.3
0.45,-0.10322878789691925,SineSignal,5,100,2,1,0,0.3
0.46,-0.20851723529069016,SineSignal,5,100,2,1,0,0.3
0.47000000000000003,-0.2270067739284744,SineSignal,5,100,2,1,0,0.3
0.48,0.7632755484734693,SineSignal,5,100,2,1,0,0.3
0.49,-1.1599773626712446,SineSignal,5,100,2,1,0,0.3
0.5,0.2854847215733078,SineSignal,5,100,2,1,0,0.3
0.51,0.5886817067874615,SineSignal,5,100,2,1,0,0.3
0.52,-0.21253076838164198,SineSignal,5,100,2,1,0,0.3
0.53,-0.8099652644141813,SineSignal,5,100,2,1,0,0.3
0.54,-0.18759296095012462,SineSignal,5,100,2,1,0,0.3
0.55,-0.26340411583914164,SineSignal,5,100,2,1,0,0.3
0.56,-0.4938690927619568,SineSignal,5,100,2,1,0,0.3
0.5700000000000001,0.12124709894874564,SineSignal,5,100,2,1,0,0.3
0.58,-1.779848709254571,SineSignal,5,100,2,1,0,0.3
0.59,-0.7286462178364055,SineSignal,5,100,2,1,0,0.3
0.6,-1.1698515224557604,SineSignal,5,100,2,1,0,0.3
0.61,-1.589433811074348,SineSignal,5,100,2,1,0,0.3
0.62,-0.5350236059175526,SineSignal,5,100,2,1,0,0.3
0.63,-1.8013350546842406,SineSignal,5,100,2,1,0,0.3
0.64,-2.3041350336032496,SineSignal,5,100,2,1,0,0.3
0.65,-1.3524640570473627,SineSignal,5,100,2,1,0,0.3
0.66,-1.3473789011830333,SineSignal,5,100,2,1,0,0.3
0.67,-0.005911109673101489,SineSignal,5,100,2,1,0,0.3
0.68,-1.186854243854727,SineSignal,5,100,2,1,0,0.3
0.6900000000000001,-2.3583574391001685,SineSignal,5,100,2,1,0,0.3
0.7000000000000001,-1.3744155378554948,SineSignal,5,100,2,1,0,0.3
0.71,-1.5946654000937746,SineSignal,5,100,2,1,0,0.3
0.72,-0.7657759698406261,SineSignal,5,100,2,1,0,0.3
0.73,-1.2368614325716476,SineSignal,5,100,2,1,0,0.3
0.74,-2.0619015345493743,SineSignal,5,100,2,1,0,0.3
0.75,-2.0052957801071303,SineSignal,5,100,2,1,0,0.3
0.76,-2.315086391737063,SineSignal,5,100,2,1,0,0.3
0.77,-2.2542478553863154,SineSignal,5,100,2,1,0,0.3
0.78,-2.347017041570615,SineSignal,5,100,2,1,0,0.3
0.79,-2.403921462227289,SineSignal,5,100,2,1,0,0.3
0.8,-2.8191016106108178,SineSignal,5,100,2,1,0,0.3
0.81,-2.568183353672863,SineSignal,5,100,2,1,0,0.3
0.8200000000000001,-1.3226703299838372,SineSignal,5,100,2,1,0,0.3
0.8300000000000001,-1.4524705796670547,SineSignal,5,100,2,1,0,0.3
0.84,-2.7732530014615726,SineSignal,5,100,2,1,0,0.3
0.85,-1.2575267352302235,SineSignal,5,100,2,1,0,0.3
0.86,-1.9328304790443223,SineSignal,5,100,2,1,0,0.3
0.87,-1.6249158862266844,SineSignal,5,100,2,1,0,0.3
0.88,-0.8859657665287823,SineSignal,5,100,2,1,0,0.3
0.89,-0.6961090534674336,SineSignal,5,100,2,1,0,0.3
0.9,-1.0547310354495092,SineSignal,5,100,2,1,0,0.3
0.91,-1.2475785468607357,SineSignal,5,100,2,1,0,0.3
