time,amplitude_data,type,duration,sample_rate,amplitude,frequency,phase,noise
0.0,0.475206629068586,SquareSignal,5,100,1,2,0,0.4
0.01,0.8749339663197198,SquareSignal,5,100,1,2,0,0.4
0.02,0.5230682058342516,SquareSignal,5,100,1,2,0,0.4
0.03,0.8049169963021172,SquareSignal,5,100,1,2,0,0.4
0.04,0.5929619821027874,SquareSignal,5,100,1,2,0,0.4
0.05,1.2618921630555486,SquareSignal,5,100,1,2,0,0.4
0.06,1.1424322728032106,SquareSignal,5,100,1,2,0,0.4
0.07,1.1105119765459288,SquareSignal,5,100,1,2,0,0.4
0.08,2.0236561816336556,SquareSignal,5,100,1,2,0,0.4
0.09,1.3038454250347813,SquareSignal,5,100,1,2,0,0.4
0.1,0.21202908839627355,SquareSignal,5,100,1,2,0,0.4
0.11,0.20033123701941602,SquareSignal,5,100,1,2,0,0.4
0.12,1.5274699743694442,SquareSignal,5,100,1,2,0,0.4
0.13,1.5616470911663587,SquareSignal,5,100,1,2,0,0.4
0.14,0.5876408141072952,SquareSignal,5,100,1,2,0,0.4
0.15,0.6939672997975914,SquareSignal,5,100,1,2,0,0.4
0.16,0.3616348556807434,SquareSignal,5,100,1,2,0,0.4
0.17,1.2804445977656047,SquareSignal,5,100,1,2,0,0.4
0.18,0.8517624877533121,SquareSignal,5,100,1,2,0,0.4
0.19,0.9814451895881589,SquareSignal,5,100,1,2,0,0.4
0.2,0.5677397635963506,SquareSignal,5,100,1,2,0,0.4
0.21,1.623900667345156,SquareSignal,5,100,1,2,0,0.4
0.22,1.2056674821523248,SquareSignal,5,100,1,2,0,0.4
0.23,0.7194350657480469,SquareSignal,5,100,1,2,0,0.4
0.24,0.33516867502038195,SquareSignal,5,100,1,2,0,0.4
0.25,-0.31440554404385745,SquareSignal,5,100,1,2,0,0.4
0.26,-1.3317133831645527,SquareSignal,5,100,1,2,0,0.4
0.27,-0.4065639462779983,SquareSignal,5,100,1,2,0,0.4
0.28,-0.9263713438051359,SquareSignal,5,100,1,2,0,0.4
0.29,-0.7337872268779321,SquareSignal,5,100,1,2,0,0.4
0.3,-1.5024066002690641,SquareSignal,5,100,1,2,0,0.4
0.31,-0.5374734803861065,SquareSignal,5,100,1,2,0,0.4
0.32,-1.5595513994046653,SquareSignal,5,100,1,2,0,0.4
0.33,-1.0667820742981091,SquareSignal,5,100,1,2,0,0.4
0.34,-1.2193076735229773,SquareSignal,5,100,1,2,0,0.4
0.35000000000000003,-1.1703181977962678,SquareSignal,5,100,1,2,0,0.4
0.36,-0.42718968334145024,SquareSignal,5,100,1,2,0,0.4
0.37,-1.406052349159156,SquareSignal,5,100,1,2,0,0.4
0.38,-0.48342469008292255,SquareSignal,5,100,1,2,0,0.4
0.39,-1.030571252361102,SquareSignal,5,100,1,2,0,0.4
0.4,-1.144620333978876,SquareSignal,5,100,1,2,0,0.4
0.41000000000000003,-0.9558698572194901,SquareSignal,5,100,1,2,0,0.4
0.42,-1.0605764033081486,SquareSignal,5,100,1,2,0,0.4
0.43,-1.4787478928935818,SquareSignal,5,100,1,2,0,0.4
0.44,-0.9976549585625998,SquareSignal,5,100,1,2,0,0.4
0.45,0.08286867513878149,SquareSignal,5,100,1,2,0,0.4
0.46,-1.3509143215349884,SquareSignal,5,100,1,2,0,0.4
0.47000000000000003,-1.2044375232518205,SquareSignal,5,100,1,2,0,0.4
0.48,-0.7423082961996552,SquareSignal,5,100,1,2,0,0.4
0.49,-1.021322198291289,SquareSignal,5,100,1,2,0,0.4
0.5,1.194368047371624,SquareSignal,5,100,1,2,0,0.4
0.51,0.5021282718927196,SquareSignal,5,100,1,2,0,0.4
0.52,0.848766181845324,SquareSignal,5,100,1,2,0,0.4
0.53,0.9528095107937873,SquareSignal,5,100,1,2,0,0.4
0.54,0.4218216081926922,SquareSignal,5,100,1,2,0,0.4
0.55,0.5287005755245799,SquareSignal,5,100,1,2,0,0.4
0.56,0.7133897884703944,SquareSignal,5,100,1,2,0,0.4
0.5700000000000001,1.246812619118053,SquareSignal,5,100,1,2,0,0.4
0.58,1.5618214697058592,SquareSignal,5,100,1,2,0,0.4
0.59,0.7974770658878341,SquareSignal,5,100,1,2,0,0.4
0.6,1.1544851184256615,SquareSignal,5,100,1,2,0,0.4
0.61,0.5240302385265448,SquareSignal,5,100,1,2,0,0.4
0.62,1.2962068434972944,SquareSignal,5,100,1,2,0,0.4
0.63,1.0538489779828148,SquareSignal,5,100,1,2,0,0.4
0.64,0.9223545244962474,SquareSignal,5,100,1,2,0,0.4
0.65,1.2518607187541302,SquareSignal,5,100,1,2,0,0.4
0.66,1.1924349169940787,SquareSignal,5,100,1,2,0,0.4
0.67,0.7912794960781702,SquareSignal,5,100,1,2,0,0.4
0.68,0.9362247402613308,SquareSignal,5,100,1,2,0,0.4
0.6900000000000001,0.9566918014871479,SquareSignal,5,100,1,2,0,0.4
0.7000000000000001,1.4233178461010922,SquareSignal,5,100,1,2,0,0.4
0.71,0.6874907579219098,SquareSignal,5,100,1,2,0,0.4
0.72,0.9954597076441706,SquareSignal,5,100,1,2,0,0.4
0.73,1.2575718665707183,SquareSignal,5,100,1,2,0,0.4
0.74,0.9155027312745745,SquareSignal,5,100,1,2,0,0.4
0.75,-0.7961171893749305,SquareSignal,5,100,1,2,0,0.4
0.76,-0.5196467927698384,SquareSignal,5,100,1,2,0,0.4
0.77,-1.2911066064590029,SquareSignal,5,100,1,2,0,0.4
0.78,-1.2551836322997234,SquareSignal,5,100,1,2,0,0.4
0.79,-0.9316425736628947,SquareSignal,5,100,1,2,0,0.4
0.8,-1.6743198886548942,SquareSignal,5,100,1,2,0,0.4
0.81,-0.966451138613005,SquareSignal,5,100,1,2,0,0.4
0.8200000000000001,-0.5839710377453281,SquareSignal,5,100,1,2,0,0.4
0.8300000000000001,-1.7854808553817558,SquareSignal,5,100,1,2,0,0.4
0.84,-1.1341328867218534,SquareSignal,5,100,1,2,0,0.4
